season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2021-2022,Ranjouk,Gabouga,0.75,0.45,0.55,4.43,1.68,0.3,0.78,0.47,0.53,4.76,1.81,0.31,0,0.07,0.27,0.05,0.02,0.02,0.86,0.73,0.93,7.17,2.72,0.37,0.1,0.13,0.13,1.44,0.55,0.04,0.74,0.38,0.45,3.73,1.42,0.3,0.25,0.8,0.55,0.62,5.47,2.08,0.32,0.75
2022-2023,57,Wad Elnaw,0.75,0.44,0.56,3.98,1.51,0.27,0.76,0.46,0.54,4.18,1.59,0.28,0.12,0.08,0.25,0.31,0.12,0.12,0.85,0.75,0.92,6.89,2.61,0.32,0.06,0.09,0.09,0.99,0.38,0.02,0.74,0.4,0.5,3.55,1.35,0.26,0.25,0.78,0.5,0.6,4.61,1.75,0.28,0.75
2022-2023,88,Elbasatna,0.76,0.49,0.51,4.53,1.72,0.28,0.77,0.5,0.5,4.63,1.76,0.29,0.15,0.1,0.19,0.42,0.16,0.14,0.85,0.81,0.9,7.31,2.77,0.33,0.05,0.09,0.09,0.94,0.36,0.02,0.75,0.44,0.45,4,1.52,0.28,0.25,0.79,0.55,0.56,5.16,1.96,0.29,0.75
2022-2023,Abdah_Fadul,Tabat,0.74,0.41,0.59,4.39,1.67,0.33,0.76,0.42,0.58,4.59,1.74,0.33,0,0.05,0.31,0.1,0.04,0.06,0.85,0.69,0.95,7.81,2.96,0.41,0.08,0.11,0.11,1.34,0.51,0.03,0.73,0.35,0.52,3.69,1.4,0.32,0.25,0.79,0.48,0.65,5.32,2.02,0.34,0.75
2022-2023,Abu_Gin,Kab_Elgidad,0.77,0.42,0.58,5.01,1.9,0.36,0.79,0.44,0.56,5.22,1.98,0.37,0,0.03,0.18,0,0,0,0.87,0.82,0.97,9.76,3.7,0.5,0.09,0.11,0.11,1.64,0.62,0.04,0.76,0.36,0.5,4.13,1.57,0.34,0.25,0.81,0.5,0.64,6.1,2.31,0.38,0.75
2022-2023,Abu_Hawa,Elhafair,0.74,0.39,0.61,4.27,1.62,0.32,0.76,0.41,0.59,4.5,1.71,0.32,0.04,0.05,0.32,0.26,0.1,0.12,0.83,0.68,0.95,7.26,2.75,0.39,0.08,0.1,0.1,1.32,0.5,0.03,0.73,0.33,0.53,3.5,1.33,0.31,0.25,0.78,0.47,0.67,5.23,1.98,0.33,0.75
2022-2023,Abu_Quta,Abd_ElMagid,0.76,0.38,0.62,4.5,1.71,0.35,0.8,0.42,0.58,4.94,1.88,0.36,0,0.03,0.35,0.09,0.03,0.08,0.88,0.65,0.97,8.67,3.29,0.43,0.11,0.14,0.14,1.84,0.7,0.04,0.76,0.29,0.52,3.23,1.23,0.34,0.25,0.82,0.48,0.71,5.83,2.21,0.38,0.75
2022-2023,Abu_Usher,Al_Gourashi,0.76,0.45,0.55,4.96,1.88,0.34,0.79,0.47,0.53,5.12,1.94,0.34,0,0.06,0.22,0.12,0.04,0.05,0.89,0.78,0.94,9.47,3.59,0.43,0.09,0.12,0.12,1.6,0.61,0.03,0.75,0.38,0.46,4.06,1.54,0.33,0.25,0.81,0.54,0.62,6.08,2.31,0.36,0.75
2022-2023,Affan,Matouri,0.75,0.45,0.55,4.63,1.76,0.3,0.77,0.47,0.53,4.87,1.85,0.31,0,0.06,0.27,0.23,0.09,0.09,0.84,0.73,0.94,7.77,2.95,0.36,0.07,0.1,0.1,1.19,0.45,0.03,0.75,0.4,0.48,4.07,1.55,0.3,0.25,0.79,0.52,0.6,5.43,2.06,0.31,0.75
2022-2023,Al_Awamrah,Abd_ElMagid,0.76,0.36,0.64,4.39,1.67,0.36,0.8,0.39,0.61,4.63,1.76,0.37,0,0.04,0.35,0,0,0,0.88,0.65,0.96,9.3,3.53,0.47,0.11,0.14,0.14,2,0.76,0.05,0.74,0.26,0.53,2.8,1.06,0.34,0.25,0.83,0.47,0.74,5.91,2.24,0.39,0.75
2022-2023,Al_Saadana,Turabi,0.77,0.43,0.57,4.93,1.87,0.35,0.79,0.44,0.56,5.07,1.92,0.36,0,0.05,0.23,0.12,0.05,0.08,0.87,0.77,0.95,8.99,3.41,0.44,0.07,0.11,0.11,1.43,0.54,0.03,0.76,0.37,0.49,4.18,1.59,0.34,0.25,0.81,0.51,0.63,5.9,2.24,0.37,0.75
2022-2023,Umm_Juha,Turabi,0.76,0.33,0.67,4.07,1.54,0.38,0.78,0.33,0.67,4.02,1.52,0.38,0,0.03,0.28,0,0,0,0.87,0.72,0.97,8.95,3.4,0.46,0.08,0.11,0.11,1.54,0.58,0.04,0.74,0.24,0.58,2.94,1.12,0.36,0.25,0.81,0.42,0.76,5.25,1.99,0.4,0.75
2022-2023,Turabi_Al_Riyasa,Turabi,0.76,0.37,0.63,4.4,1.67,0.36,0.78,0.39,0.61,4.63,1.75,0.37,0,0.04,0.24,0,0,0,0.88,0.76,0.96,9.13,3.46,0.47,0.08,0.1,0.1,1.39,0.53,0.04,0.75,0.31,0.56,3.61,1.37,0.35,0.25,0.8,0.44,0.69,5.28,2,0.39,0.75
2022-2023,Wad_Bala,Turabi,0.76,0.38,0.62,4.39,1.67,0.35,0.78,0.4,0.6,4.55,1.73,0.36,0,0.03,0.3,0,0,0,0.88,0.7,0.97,8.43,3.2,0.44,0.1,0.11,0.11,1.47,0.56,0.04,0.74,0.32,0.54,3.45,1.31,0.34,0.25,0.81,0.46,0.68,5.41,2.05,0.38,0.75
2022-2023,Fargin,Kab_Elgidad,0.78,0.37,0.63,4.71,1.79,0.38,0.8,0.39,0.61,4.9,1.86,0.39,0,0.03,0.37,0.11,0.04,0.09,0.88,0.63,0.97,9.28,3.52,0.5,0.08,0.12,0.12,1.67,0.63,0.04,0.77,0.3,0.54,3.58,1.36,0.37,0.25,0.82,0.46,0.7,5.92,2.24,0.41,0.75
2022-2023,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.75,0.36,0.64,4.03,1.53,0.33,0.78,0.38,0.62,4.35,1.65,0.34,0.1,0.05,0.44,0.24,0.09,0.13,0.85,0.56,0.95,7.21,2.73,0.39,0.1,0.12,0.12,1.6,0.61,0.04,0.74,0.28,0.55,2.8,1.06,0.32,0.25,0.81,0.45,0.72,5.2,1.97,0.36,0.75
2022-2023,Fawar,Tabat,0.75,0.41,0.59,4.7,1.78,0.34,0.78,0.42,0.58,4.78,1.82,0.35,0,0.05,0.22,0.17,0.07,0.11,0.86,0.78,0.95,9.42,3.57,0.42,0.09,0.14,0.14,1.89,0.72,0.04,0.73,0.31,0.48,3.36,1.28,0.33,0.25,0.8,0.52,0.69,5.99,2.27,0.37,0.75
2022-2023,Abd_Elmagid,Surhan,0.77,0.4,0.6,4.58,1.74,0.34,0.79,0.42,0.58,4.88,1.85,0.35,0.29,0.06,0.42,0.4,0.15,0.21,0.84,0.58,0.94,7.82,2.97,0.41,0.07,0.11,0.11,1.42,0.54,0.03,0.76,0.34,0.52,3.8,1.44,0.33,0.25,0.8,0.48,0.66,5.61,2.13,0.36,0.75
2022-2023,Surhan_Al_Riyasa,Surhan,0.75,0.42,0.58,4.65,1.76,0.33,0.77,0.44,0.56,4.88,1.85,0.34,0,0.05,0.3,0,0,0,0.85,0.7,0.95,8.02,3.04,0.39,0.08,0.1,0.1,1.39,0.53,0.04,0.74,0.37,0.51,3.98,1.51,0.32,0.25,0.79,0.49,0.63,5.56,2.11,0.35,0.75
2022-2023,Istarhna,Al_Gourashi,0.74,0.38,0.62,4.02,1.52,0.32,0.76,0.39,0.61,4.22,1.6,0.33,0,0.05,0.29,0.06,0.02,0.03,0.87,0.71,0.95,8.01,3.04,0.42,0.11,0.11,0.11,1.44,0.55,0.04,0.72,0.3,0.54,3.11,1.18,0.31,0.25,0.8,0.46,0.7,5.03,1.91,0.34,0.75
2022-2023,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.75,0.41,0.59,4.33,1.64,0.32,0.77,0.42,0.58,4.47,1.69,0.33,0.16,0.07,0.21,0,0,0,0.87,0.79,0.93,9,3.41,0.43,0.09,0.11,0.11,1.38,0.52,0.03,0.73,0.35,0.52,3.59,1.36,0.32,0.25,0.8,0.48,0.65,5.21,1.98,0.34,0.75
2022-2023,El_Rukun,Tabat,0.75,0.41,0.59,4.31,1.64,0.32,0.77,0.43,0.57,4.49,1.7,0.32,0,0.07,0.31,0.07,0.03,0.03,0.87,0.69,0.93,7.68,2.91,0.37,0.08,0.1,0.1,1.26,0.48,0.03,0.73,0.36,0.52,3.68,1.4,0.31,0.25,0.79,0.48,0.64,5.2,1.97,0.34,0.75
2022-2023,Wad_El_Saiyid,Elmessellamia,0.75,0.42,0.58,4.28,1.62,0.31,0.77,0.43,0.57,4.46,1.69,0.31,0,0.06,0.27,0.2,0.08,0.1,0.85,0.73,0.94,7.42,2.81,0.37,0.07,0.1,0.1,1.19,0.45,0.03,0.74,0.37,0.51,3.62,1.37,0.3,0.25,0.79,0.49,0.63,5.08,1.93,0.33,0.75
2022-2023,Al_Firijab,Surhan,0.74,0.42,0.58,4.35,1.65,0.31,0.77,0.44,0.56,4.62,1.75,0.32,0.02,0.09,0.34,0.19,0.07,0.07,0.86,0.66,0.91,7.29,2.76,0.37,0.08,0.1,0.1,1.31,0.5,0.03,0.73,0.36,0.51,3.63,1.38,0.3,0.25,0.79,0.49,0.64,5.25,1.99,0.33,0.75
2022-2023,Tannub,Tabat,0.75,0.44,0.56,4.53,1.72,0.31,0.77,0.45,0.55,4.65,1.76,0.32,0,0.08,0.27,0.13,0.05,0.05,0.87,0.73,0.92,8.53,3.23,0.39,0.06,0.09,0.09,1.2,0.46,0.03,0.74,0.38,0.5,3.91,1.48,0.31,0.25,0.79,0.5,0.62,5.34,2.02,0.33,0.75
2022-2023,Tabat_Al_Riyasa,Tabat,0.76,0.45,0.55,4.65,1.77,0.31,0.77,0.46,0.54,4.74,1.8,0.32,0.01,0.07,0.2,0.29,0.11,0.12,0.86,0.8,0.93,8.17,3.1,0.36,0.05,0.09,0.09,1.05,0.4,0.02,0.74,0.41,0.5,4.11,1.56,0.3,0.25,0.79,0.5,0.59,5.36,2.03,0.33,0.75
2022-2023,Saad_Allah,Elmessellamia,0.75,0.42,0.58,4.24,1.61,0.3,0.76,0.43,0.57,4.39,1.66,0.31,0,0.06,0.25,0.06,0.02,0.03,0.87,0.75,0.94,8.33,3.16,0.38,0.06,0.09,0.09,1.06,0.4,0.03,0.74,0.38,0.53,3.7,1.4,0.29,0.25,0.78,0.47,0.62,4.91,1.86,0.32,0.75
2022-2023,Wad_ElBurr,Wad_ElBurr,0.76,0.49,0.51,4.89,1.86,0.3,0.77,0.5,0.5,4.98,1.89,0.3,0,0.07,0.24,0.18,0.07,0.07,0.84,0.76,0.93,7.87,2.99,0.35,0.06,0.09,0.09,1.06,0.4,0.02,0.74,0.45,0.45,4.41,1.67,0.29,0.25,0.78,0.55,0.55,5.56,2.11,0.31,0.75
2022-2023,Wad_Hilal,Wad_ElBurr,0.75,0.45,0.55,4.37,1.66,0.29,0.76,0.47,0.53,4.61,1.75,0.3,0,0.06,0.39,0,0,0,0.83,0.61,0.94,6.67,2.53,0.35,0.06,0.09,0.09,1.11,0.42,0.03,0.74,0.4,0.49,3.88,1.47,0.29,0.25,0.78,0.51,0.6,5.12,1.94,0.31,0.75
2022-2023,Elmessellamia_Al_Riyasa,Elmessellamia,0.76,0.47,0.53,4.61,1.75,0.3,0.77,0.48,0.52,4.69,1.78,0.3,0.36,0.11,0.29,0.69,0.26,0.19,0.85,0.71,0.89,7.19,2.73,0.34,0.05,0.08,0.08,0.99,0.37,0.02,0.75,0.43,0.47,4.13,1.57,0.29,0.25,0.79,0.53,0.57,5.21,1.98,0.31,0.75
2022-2023,Beika,Elmessellamia,0.76,0.45,0.55,4.36,1.66,0.3,0.77,0.46,0.54,4.47,1.7,0.3,0.13,0.09,0.29,0.38,0.14,0.13,0.85,0.71,0.91,7.6,2.88,0.35,0.05,0.09,0.09,1.03,0.39,0.02,0.74,0.4,0.49,3.82,1.45,0.29,0.25,0.78,0.51,0.6,5.05,1.92,0.31,0.75
2022-2023,Bortobeil,Elbasatna,0.75,0.46,0.54,4.38,1.66,0.29,0.76,0.48,0.52,4.56,1.73,0.29,0,0.07,0.23,0.17,0.06,0.07,0.85,0.77,0.93,7.45,2.83,0.34,0.06,0.09,0.09,1.01,0.38,0.02,0.74,0.42,0.48,3.97,1.51,0.28,0.25,0.78,0.52,0.58,5.02,1.91,0.3,0.75
2022-2023,Barakat_Al_Riyasa,Elbasatna,0.76,0.47,0.53,4.4,1.67,0.29,0.77,0.47,0.53,4.53,1.72,0.29,0.1,0.08,0.18,0.31,0.12,0.12,0.86,0.82,0.92,7.53,2.86,0.34,0.06,0.09,0.09,1.03,0.39,0.02,0.75,0.41,0.47,3.89,1.48,0.28,0.25,0.79,0.53,0.59,5.06,1.92,0.3,0.75
2022-2023,Wad_Figda,Hag Abdalla and North West Sennar,0.74,0.48,0.52,4.24,1.61,0.27,0.76,0.5,0.5,4.36,1.65,0.27,0.38,0.14,0.25,0.75,0.29,0.16,0.84,0.75,0.86,6.83,2.59,0.31,0.05,0.11,0.11,1.08,0.41,0.02,0.73,0.43,0.45,3.71,1.41,0.26,0.25,0.77,0.55,0.57,4.89,1.85,0.28,0.75
2022-2023,Al_Toman,Wad Elnaw,0.74,0.41,0.59,3.78,1.43,0.28,0.76,0.42,0.58,3.91,1.48,0.28,0.19,0.08,0.29,0.31,0.12,0.13,0.84,0.71,0.92,6.45,2.45,0.34,0.06,0.09,0.09,1.02,0.39,0.03,0.73,0.37,0.53,3.3,1.25,0.27,0.25,0.77,0.47,0.63,4.41,1.67,0.29,0.75
2022-2023,Hag_Abdalla,Hag Abdalla and North West Sennar,0.75,0.46,0.54,4.08,1.55,0.27,0.76,0.47,0.53,4.22,1.6,0.27,0.08,0.05,0.23,0.17,0.07,0.11,0.86,0.77,0.95,6.97,2.64,0.31,0.06,0.09,0.09,0.97,0.37,0.02,0.73,0.42,0.48,3.63,1.38,0.26,0.25,0.78,0.52,0.58,4.68,1.78,0.28,0.75
2022-2023,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.77,0.48,0.52,4.35,1.65,0.28,0.78,0.49,0.51,4.49,1.7,0.28,0.17,0.08,0.22,0.39,0.15,0.16,0.87,0.78,0.92,7.59,2.88,0.34,0.05,0.09,0.09,1.02,0.39,0.02,0.76,0.44,0.46,3.93,1.49,0.27,0.25,0.8,0.54,0.56,4.99,1.89,0.29,0.75
2022-2023,Hadad,Hag Abdalla and North West Sennar,0.75,0.47,0.53,4.21,1.6,0.27,0.77,0.49,0.51,4.48,1.7,0.27,0.5,0.18,0.32,1.05,0.4,0.18,0.82,0.68,0.82,6.25,2.37,0.3,0.05,0.09,0.09,0.97,0.37,0.02,0.74,0.42,0.47,3.66,1.39,0.26,0.25,0.79,0.53,0.58,4.89,1.85,0.28,0.75
2022-2023,Gundal,Hag Abdalla and North West Sennar,0.72,0.43,0.57,3.68,1.4,0.26,0.76,0.43,0.57,3.85,1.46,0.27,0.06,0.13,0.38,0,0,0,0.81,0.62,0.87,5.54,2.1,0.3,0.13,0.11,0.11,1.28,0.49,0.05,0.72,0.37,0.49,3.01,1.14,0.26,0.25,0.78,0.51,0.63,4.69,1.78,0.28,0.75
2022-2023,Fahal,El_Mukhtar,0.73,0.41,0.59,3.74,1.42,0.27,0.75,0.43,0.57,3.99,1.52,0.28,0.11,0.08,0.32,0.3,0.11,0.12,0.83,0.68,0.92,6.2,2.35,0.33,0.07,0.1,0.1,1.1,0.42,0.03,0.71,0.35,0.52,3.11,1.18,0.27,0.25,0.77,0.48,0.65,4.54,1.72,0.29,0.75
2022-2023,Hamadna_Allah,El_Mukhtar,0.74,0.44,0.56,4.31,1.63,0.29,0.76,0.46,0.54,4.49,1.7,0.3,0.09,0.08,0.31,0.34,0.13,0.13,0.83,0.69,0.92,7.08,2.69,0.35,0.06,0.1,0.1,1.13,0.43,0.03,0.73,0.4,0.49,3.79,1.44,0.28,0.25,0.78,0.51,0.6,5.07,1.92,0.31,0.75
2022-2023,Um_Degina,El_Mukhtar,0.75,0.46,0.54,4.52,1.72,0.3,0.75,0.47,0.53,4.55,1.73,0.3,0,0.07,0.33,0,0,0,0.83,0.67,0.93,7.94,3.01,0.37,0.05,0.09,0.09,1.06,0.4,0.02,0.73,0.42,0.49,4.08,1.55,0.29,0.25,0.78,0.51,0.58,5.1,1.93,0.31,0.75
2022-2023,Shaliee_Al_Riyasa,Shaliee,0.76,0.47,0.53,4.9,1.86,0.31,0.78,0.49,0.51,5.16,1.96,0.32,0.01,0.07,0.22,0,0,0,0.85,0.78,0.93,8.06,3.06,0.38,0.08,0.1,0.1,1.29,0.49,0.03,0.75,0.42,0.46,4.26,1.62,0.31,0.25,0.79,0.54,0.58,5.78,2.19,0.33,0.75
2022-2023,Wad_Elzain,Shaliee,0.76,0.47,0.53,4.96,1.88,0.32,0.78,0.49,0.51,5.19,1.97,0.32,0,0.06,0.25,0.2,0.08,0.09,0.85,0.75,0.94,7.81,2.96,0.37,0.06,0.1,0.1,1.27,0.48,0.03,0.76,0.42,0.46,4.36,1.65,0.31,0.25,0.79,0.54,0.58,5.8,2.2,0.33,0.75
2022-2023,Shandi,Shaliee,0.75,0.43,0.57,4.72,1.79,0.33,0.77,0.45,0.55,4.98,1.89,0.33,0,0.06,0.37,0.04,0.02,0.02,0.85,0.63,0.94,8.3,3.15,0.39,0.08,0.11,0.11,1.41,0.54,0.03,0.73,0.36,0.5,3.96,1.5,0.32,0.25,0.79,0.5,0.64,5.7,2.16,0.35,0.75
2022-2023,Elhurga_Nuraldin,Elhurga/Nuraldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75
2022-2023,El_Sharqi_Al_Riyasa,Al Genied,0.72,0.29,0.71,3.05,1.16,0.31,0.74,0.27,0.73,2.79,1.06,0.32,0.15,0.05,0.42,0.3,0.11,0.16,0.84,0.58,0.95,6.7,2.54,0.38,0.11,0.11,0.11,1.42,0.54,0.04,0.68,0.21,0.63,2.03,0.77,0.29,0.25,0.79,0.37,0.79,3.98,1.51,0.34,0.75
2022-2023,El_Ariga,EL_Mansi,0.74,0.42,0.58,4.5,1.71,0.32,0.77,0.44,0.56,4.75,1.8,0.32,0.06,0.07,0.3,0.33,0.12,0.15,0.85,0.7,0.93,7.92,3.01,0.38,0.09,0.11,0.11,1.39,0.53,0.03,0.73,0.37,0.5,3.77,1.43,0.31,0.25,0.79,0.5,0.63,5.45,2.07,0.34,0.75
2022-2023,Shakir,EL_Mansi,0.73,0.38,0.62,4.2,1.59,0.32,0.76,0.4,0.6,4.44,1.68,0.33,0,0.05,0.37,0.06,0.02,0.03,0.85,0.63,0.95,8.08,3.06,0.4,0.1,0.11,0.11,1.48,0.56,0.04,0.71,0.31,0.54,3.22,1.22,0.31,0.25,0.78,0.46,0.69,5.22,1.98,0.35,0.75
2022-2023,EL_Nala,El_Tahameed,0.74,0.39,0.61,4.71,1.79,0.35,0.78,0.41,0.59,5.03,1.91,0.36,0,0.05,0.34,0,0,0,0.85,0.66,0.95,8.95,3.4,0.44,0.12,0.12,0.12,1.67,0.63,0.05,0.73,0.32,0.53,3.8,1.44,0.34,0.25,0.8,0.47,0.68,5.87,2.23,0.38,0.75
2022-2023,EL_Mansi_Al_Riyasa,EL_Mansi,0.75,0.43,0.57,4.62,1.75,0.32,0.77,0.45,0.55,4.81,1.82,0.32,0,0.06,0.3,0.09,0.04,0.03,0.84,0.7,0.94,7.83,2.97,0.38,0.07,0.1,0.1,1.29,0.49,0.03,0.74,0.38,0.5,3.98,1.51,0.31,0.25,0.79,0.5,0.62,5.48,2.08,0.33,0.75
2022-2023,El_Tahameed_Al_Riyasa,El_Tahameed,0.76,0.44,0.56,5.04,1.91,0.34,0.78,0.45,0.55,5.25,1.99,0.34,0,0.06,0.34,0.28,0.11,0.13,0.83,0.66,0.94,8.47,3.21,0.41,0.07,0.1,0.1,1.42,0.54,0.03,0.75,0.39,0.49,4.38,1.66,0.33,0.25,0.79,0.51,0.61,5.97,2.26,0.36,0.75
2022-2023,Tku,El_Tahameed,0.75,0.4,0.6,4.45,1.69,0.33,0.77,0.42,0.58,4.72,1.79,0.33,0.08,0.05,0.38,0.27,0.1,0.16,0.85,0.62,0.95,8.03,3.05,0.42,0.07,0.11,0.11,1.42,0.54,0.03,0.73,0.33,0.53,3.49,1.33,0.32,0.25,0.79,0.47,0.67,5.44,2.06,0.35,0.75
2022-2023,Al_Tarfa,Elfakhakhir,0.75,0.42,0.58,4.54,1.72,0.31,0.77,0.45,0.55,4.79,1.82,0.32,0,0.05,0.3,0,0,0,0.84,0.7,0.95,7.73,2.93,0.39,0.08,0.11,0.11,1.38,0.52,0.03,0.73,0.36,0.5,3.76,1.43,0.3,0.25,0.79,0.5,0.64,5.52,2.1,0.33,0.75
2022-2023,Al_Taayif,Elfakhakhir,0.75,0.43,0.57,4.58,1.74,0.31,0.77,0.45,0.55,4.81,1.83,0.32,0,0.05,0.33,0,0,0,0.83,0.67,0.95,7.88,2.99,0.38,0.08,0.11,0.11,1.34,0.51,0.03,0.74,0.38,0.49,3.85,1.46,0.3,0.25,0.79,0.51,0.62,5.53,2.1,0.33,0.75
2022-2023,Al_Krimit,Elfakhakhir,0.76,0.46,0.54,4.85,1.84,0.31,0.78,0.48,0.52,5.07,1.92,0.32,0,0.06,0.32,0.21,0.08,0.07,0.84,0.68,0.94,7.97,3.03,0.38,0.08,0.1,0.1,1.37,0.52,0.03,0.75,0.41,0.47,4.16,1.58,0.3,0.25,0.79,0.53,0.59,5.78,2.19,0.33,0.75
2022-2023,Hegeliga,Elhafair,0.75,0.43,0.57,4.46,1.69,0.3,0.77,0.46,0.54,4.74,1.8,0.31,0.05,0.06,0.3,0.27,0.1,0.13,0.85,0.7,0.94,8.09,3.07,0.37,0.07,0.11,0.11,1.42,0.54,0.03,0.73,0.36,0.48,3.56,1.35,0.29,0.25,0.79,0.52,0.64,5.5,2.09,0.32,0.75
2022-2023,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.74,0.41,0.59,4.25,1.61,0.3,0.77,0.43,0.57,4.49,1.7,0.31,0,0.07,0.27,0,0,0,0.85,0.73,0.93,7.85,2.98,0.38,0.09,0.12,0.12,1.45,0.55,0.03,0.73,0.34,0.5,3.29,1.25,0.29,0.25,0.79,0.5,0.66,5.28,2.01,0.32,0.75
2022-2023,Matouri_Al_Riyasa,Matouri,0.74,0.42,0.58,4.3,1.63,0.3,0.77,0.44,0.56,4.52,1.71,0.31,0,0.05,0.33,0,0,0,0.85,0.67,0.95,7.38,2.8,0.35,0.08,0.1,0.1,1.29,0.49,0.03,0.73,0.36,0.51,3.64,1.38,0.3,0.25,0.79,0.49,0.64,5.22,1.98,0.32,0.75
2022-2023,El_Zafir,Elhafair,0.74,0.4,0.6,4.27,1.62,0.31,0.76,0.42,0.58,4.54,1.72,0.32,0,0.05,0.26,0.11,0.04,0.05,0.84,0.74,0.95,7.81,2.96,0.38,0.08,0.11,0.11,1.36,0.52,0.03,0.73,0.33,0.52,3.44,1.31,0.3,0.25,0.78,0.48,0.67,5.22,1.98,0.33,0.75
2022-2023,Elhafair_Al_Riyasa,Elhafair,0.73,0.35,0.65,3.83,1.45,0.31,0.75,0.37,0.63,4.04,1.53,0.32,0,0.04,0.41,0.15,0.06,0.11,0.84,0.59,0.96,7.69,2.92,0.38,0.1,0.11,0.11,1.41,0.54,0.04,0.72,0.28,0.56,2.93,1.11,0.3,0.25,0.78,0.44,0.72,4.86,1.84,0.33,0.75
2022-2023,Um_Suneita,Matouri,0.72,0.34,0.66,3.61,1.37,0.3,0.75,0.35,0.65,3.77,1.43,0.31,0.02,0.05,0.45,0.17,0.06,0.05,0.87,0.55,0.95,6.69,2.54,0.37,0.1,0.1,0.1,1.34,0.51,0.04,0.7,0.26,0.58,2.64,1,0.29,0.25,0.78,0.42,0.74,4.64,1.76,0.33,0.75
2022-2023,Disheinat,Matouri,0.75,0.41,0.59,4.1,1.56,0.29,0.77,0.43,0.57,4.34,1.65,0.3,0.12,0.08,0.22,0.37,0.14,0.13,0.84,0.78,0.92,7.58,2.87,0.35,0.08,0.1,0.1,1.25,0.47,0.03,0.73,0.35,0.51,3.38,1.28,0.28,0.25,0.79,0.49,0.65,4.99,1.89,0.31,0.75
2022-2023,Um_Gargor,Elshawal,0.76,0.48,0.52,4.65,1.76,0.29,0.77,0.49,0.51,4.78,1.82,0.29,0.38,0.15,0.25,0.9,0.34,0.13,0.85,0.75,0.85,7.5,2.85,0.34,0.05,0.08,0.08,0.91,0.35,0.02,0.75,0.44,0.47,4.23,1.61,0.28,0.25,0.79,0.53,0.56,5.22,1.98,0.3,0.75
2022-2023,Al_Gamosi,Gabouga,0.74,0.42,0.58,4.13,1.57,0.29,0.76,0.44,0.56,4.35,1.65,0.3,0,0.06,0.37,0.2,0.08,0.08,0.83,0.63,0.94,7.21,2.74,0.36,0.08,0.1,0.1,1.19,0.45,0.03,0.73,0.36,0.51,3.5,1.33,0.28,0.25,0.78,0.49,0.64,4.94,1.87,0.31,0.75
2022-2023,Gabouga,Gabouga,0.73,0.41,0.59,4.02,1.53,0.29,0.75,0.42,0.58,4.21,1.6,0.29,0,0.07,0.31,0.22,0.08,0.09,0.84,0.69,0.93,6.93,2.63,0.35,0.08,0.09,0.09,1.12,0.43,0.03,0.73,0.36,0.53,3.51,1.33,0.28,0.25,0.78,0.47,0.64,4.76,1.8,0.3,0.75
2022-2023,Elshawal_Al_Riyasa,Elshawal,0.76,0.45,0.55,4.44,1.69,0.29,0.77,0.46,0.54,4.52,1.72,0.29,0.44,0.13,0.34,0.8,0.3,0.18,0.84,0.66,0.87,6.78,2.57,0.33,0.04,0.09,0.09,0.98,0.37,0.02,0.75,0.4,0.49,3.87,1.47,0.28,0.25,0.79,0.51,0.6,5.11,1.94,0.3,0.75
2022-2023,El_waha,Elshawal,0.76,0.47,0.53,4.45,1.69,0.28,0.77,0.48,0.52,4.62,1.75,0.28,0.24,0.08,0.3,0.4,0.15,0.14,0.84,0.7,0.92,7.19,2.73,0.34,0.05,0.09,0.09,1.02,0.39,0.02,0.75,0.42,0.48,3.98,1.51,0.27,0.25,0.79,0.52,0.58,5.14,1.95,0.29,0.75
2022-2023,Ranjouk,Gabouga,0.72,0.41,0.59,3.98,1.51,0.28,0.74,0.43,0.57,4.21,1.6,0.29,0.04,0.07,0.27,0.27,0.1,0.11,0.83,0.73,0.93,6.98,2.65,0.32,0.08,0.1,0.1,1.1,0.42,0.03,0.71,0.37,0.52,3.53,1.34,0.28,0.25,0.76,0.48,0.63,4.71,1.79,0.3,0.75
